baseSlug,player,name_key,reason
adama_bal,Adama Bal,adama bal,no_nba_or_bbref_id
darius_brown,Darius Brown,darius brown,no_nba_or_bbref_id
william_smith,William Smith,william smith,no_nba_or_bbref_id
aaron_james,Aaron James,aaron james,no_headshot_file
abdul_jeelani,Abdul Jeelani,abdul jeelani,no_headshot_file
acie_earl,Acie Earl,acie earl,no_headshot_file
adrian_branch,Adrian Branch,adrian branch,no_headshot_file
adrian_caldwell,Adrian Caldwell,adrian caldwell,no_headshot_file
ahmad_caver,Ahmad Caver,ahmad caver,no_headshot_file
aj_english,A.J. English,aj english,no_headshot_file
aj_guyton,A.J. Guyton,aj guyton,no_headshot_file
al_eberhard,Al Eberhard,al eberhard,no_headshot_file
al_henry,Al Henry,al henry,no_headshot_file
al_skinner,Al Skinner,al skinner,no_headshot_file
al_tucker,Al Tucker,al tucker,no_headshot_file
al_wood,Al Wood,al wood,no_headshot_file
alan_hardy,Alan Hardy,alan hardy,no_headshot_file
alan_ogg,Alan Ogg,alan ogg,no_headshot_file
alec_kessler,Alec Kessler,alec kessler,no_headshot_file
alex_bradley,Alex Bradley,alex bradley,no_headshot_file
alex_morales,Alex Morales,alex morales,no_headshot_file
alfredrick_hughes,Alfredrick Hughes,alfredrick hughes,no_headshot_file
allan_ray,Allan Ray,allan ray,no_headshot_file
allen_leavell,Allen Leavell,allen leavell,no_headshot_file
alonzo_bradley,Alonzo Bradley,alonzo bradley,no_headshot_file
alton_ford,Alton Ford,alton ford,no_headshot_file
amal_mccaskill,Amal McCaskill,amal mccaskill,no_headshot_file
andersson_garcia,Andersson Garcia,andersson garcia,no_headshot_file
andrae_patterson,Andrae Patterson,andrae patterson,no_headshot_file
andre_barrett,Andre Barrett,andre barrett,no_headshot_file
andre_mccarter,Andre McCarter,andre mccarter,no_headshot_file
andre_owens,Andre Owens,andre owens,no_headshot_file
andre_spencer,Andre Spencer,andre spencer,no_headshot_file
andre_turner,Andre Turner,andre turner,no_headshot_file
andre_wakefield,Andre Wakefield,andre wakefield,no_headshot_file
andy_toolson,Andy Toolson,andy toolson,no_headshot_file
andy_walker,Andy Walker,andy walker,no_headshot_file
ansu_sesay,Ansu Sesay,ansu sesay,no_headshot_file
anthony_avent,Anthony Avent,anthony avent,no_headshot_file
