team,player,pos,ppg,rpg,apg,spg,bpg,positions,id,baseSlug,era,reason
ATL,Dave Newmark,C,4.9,2.7,0.7,,,['C'],dave_newmark_atl_1970s,dave_newmark,1970s,no_bbref_match
ATL,Don Ohl,SG,6.2,1.1,1.5,,,"['PG', 'SG']",don_ohl_atl_1970s,don_ohl,1970s,no_bbref_match
ATL,Eddie Mast,PF,2.8,3.2,0.9,,,['PF'],eddie_mast_atl_1970s,eddie_mast,1970s,no_bbref_match
ATL,Gary Gregor,SF,8.1,4.9,0.8,,,"['PF', 'SF']",gary_gregor_atl_1970s,gary_gregor,1970s,no_bbref_match
ATL,Herb White,PG,2.4,1.3,1.2,,,['PG'],herb_white_atl_1970s,herb_white,1970s,no_bbref_match
ATL,Jeff Halliburton,SG,4.39,1.04,0.78,,,['SG'],jeff_halliburton_atl_1970s,jeff_halliburton,1970s,no_bbref_match
ATL,Jerry Chambers,SF,8.9,3.8,0.9,,,['SF'],jerry_chambers_atl_1970s,jerry_chambers,1970s,no_bbref_match
ATL,Joe Caldwell,SG,21.1,5.0,3.5,,,"['SF', 'SG']",joe_caldwell_atl_1970s,joe_caldwell,1970s,no_bbref_match
ATL,John Vallely,SG,4.03,0.77,0.91,,,['SG'],john_vallely_atl_1970s,john_vallely,1970s,no_bbref_match
ATL,Larry Siegfried,PG,3.3,1.5,2.5,,,"['PG', 'SG']",larry_siegfried_atl_1970s,larry_siegfried,1970s,no_bbref_match
ATL,Len Chappell,PF,4.8,3.2,0.4,,,"['C', 'PF', 'SF']",len_chappell_atl_1970s,len_chappell,1970s,no_bbref_match
ATL,Jack Givens,SF,5.7,3.0,0.7,0.6,0.2,['SF'],jack_givens_atl_1980s,jack_givens,1980s,no_bbref_match
ATL,John Brown,SF,3.9,2.2,0.5,0.1,0.1,"['PF', 'SF']",john_brown_atl_1980s,john_brown,1980s,no_bbref_match
ATL,Terry Furlow,SG,8.4,2.0,3.4,0.9,0.4,['SG'],terry_furlow_atl_1980s,terry_furlow,1980s,no_bbref_match
ATL,Randolph Morris,PF,2.2,1.4,0.1,0.2,0.1,"['C', 'PF']",randolph_morris_atl_2010s,randolph_morris,2010s,no_bbref_match
BKN,Purvis Short,SF,13.1,3.0,1.8,0.8,0.2,"['PF', 'SF', 'SG']",purvis_short_bkn_1990s,purvis_short,1990s,no_bbref_match
BKN,Gheorghe Mureșan,C,3.5,2.3,0.3,0.0,0.4,['C'],gheorghe_mure_an_bkn_2000s,gheorghe_mure_an,2000s,no_bbref_match
BKN,Michael Cage,C,1.4,4.1,0.5,0.4,0.4,"['C', 'PF']",michael_cage_bkn_2000s,michael_cage,2000s,no_bbref_match
BKN,Jarvis Hayes,SF,7.8,2.4,0.9,0.6,0.2,"['SF', 'SG']",jarvis_hayes_bkn_2010s,jarvis_hayes,2010s,no_bbref_match
BKN,Josh Boone,PF,4.0,5.0,0.5,0.5,0.8,"['C', 'PF']",josh_boone_bkn_2010s,josh_boone,2010s,no_bbref_match
BKN,Rafer Alston,PG,9.7,2.8,3.9,1.0,0.2,['PG'],rafer_alston_bkn_2010s,rafer_alston,2010s,no_bbref_match
BKN,Trenton Hassell,SF,4.5,2.9,1.0,0.3,0.2,"['SF', 'SG']",trenton_hassell_bkn_2010s,trenton_hassell,2010s,no_bbref_match
BOS,Bailey Howell,PF,12.6,6.7,1.5,,,"['PF', 'SF']",bailey_howell_bos_1970s,bailey_howell,1970s,no_bbref_match
BOS,Bill Dinwiddie,PF,4.9,3.4,0.6,,,"['PF', 'SF']",bill_dinwiddie_bos_1970s,bill_dinwiddie,1970s,no_bbref_match
BOS,Em Bryant,PG,7.8,3.8,3.3,,,['PG'],em_bryant_bos_1970s,em_bryant,1970s,no_bbref_match
BOS,Garfield Smith,PF,2.69,2.1,0.24,,,"['C', 'PF']",garfield_smith_bos_1970s,garfield_smith,1970s,no_bbref_match
BOS,Jim Barnes,PF,5.9,4.5,0.7,,,"['C', 'PF']",jim_barnes_bos_1970s,jim_barnes,1970s,no_bbref_match
BOS,Larry Siegfried,PG,12.6,2.7,3.8,,,"['PG', 'SG']",larry_siegfried_bos_1970s,larry_siegfried,1970s,no_bbref_match
BOS,Rex Morgan,SG,2.77,1.48,0.6,,,['SG'],rex_morgan_bos_1970s,rex_morgan,1970s,no_bbref_match
BOS,Rich Johnson,C,5.83,3.23,0.49,,,['C'],rich_johnson_bos_1970s,rich_johnson,1970s,no_bbref_match
BOS,Tom Sanders,SF,6.3,3.59,1.07,,,"['PF', 'SF']",tom_sanders_bos_1970s,tom_sanders,1970s,no_bbref_match
BOS,Don Chaney,SG,2.8,1.2,0.6,0.5,0.2,['SG'],don_chaney_bos_1980s,don_chaney,1980s,no_bbref_match
BOS,Pete Maravich,SG,11.5,1.5,1.1,0.3,0.1,['SG'],pete_maravich_bos_1980s,pete_maravich,1980s,no_bbref_match
BOS,Dennis Johnson,PG,7.1,2.7,6.5,1.1,0.2,"['PG', 'SG']",dennis_johnson_bos_1990s,dennis_johnson,1990s,no_bbref_match
BOS,Jim Paxson,PG,6.4,1.1,1.9,0.5,0.1,"['PG', 'SF', 'SG']",jim_paxson_bos_1990s,jim_paxson,1990s,no_bbref_match
BOS,J.R. Giddens,SF,1.1,1.0,0.3,0.2,0.0,['SF'],jr_giddens_bos_2010s,jr_giddens,2010s,no_bbref_match
BOS,Michael Finley,SF,5.2,1.6,1.1,0.2,0.1,"['SF', 'SG']",michael_finley_bos_2010s,michael_finley,2010s,no_bbref_match
CHA,Brian Rowsom,PF,5.1,3.0,0.5,0.4,0.3,['PF'],brian_rowsom_cha_1990s,brian_rowsom,1990s,no_bbref_match
CHA,Jerry Sichting,PG,3.5,0.6,2.7,0.5,0.1,['PG'],jerry_sichting_cha_1990s,jerry_sichting,1990s,no_bbref_match
CHA,Richard Anderson,PF,4.3,2.4,1.0,0.4,0.2,"['C', 'PF']",richard_anderson_cha_1990s,richard_anderson,1990s,no_bbref_match
CHA,Bobby Phills,SG,13.6,2.5,2.8,1.5,0.3,['SG'],bobby_phills_cha_2000s,bobby_phills,2000s,no_bbref_match
CHA,Dale Ellis,SG,2.3,0.9,0.3,0.3,0.0,"['SF', 'SG']",dale_ellis_cha_2000s,dale_ellis,2000s,no_bbref_match
CHA,Ronald Murray,SG,9.9,2.1,1.8,0.6,0.3,"['PG', 'SG']",ronald_murray_cha_2010s,ronald_murray,2010s,no_bbref_match
CHI,Al Tucker,PF,7.0,3.4,0.9,,,['PF'],al_tucker_chi_1970s,al_tucker,1970s,no_bbref_match
CHI,Ed Manning,PF,5.6,5.2,0.9,,,"['PF', 'SF']",ed_manning_chi_1970s,ed_manning,1970s,no_bbref_match
CHI,Jim King,SG,4.94,1.16,1.33,,,"['PG', 'SG']",jim_king_chi_1970s,jim_king,1970s,no_bbref_match
CHI,Jimmy Collins,SG,3.82,0.9,0.95,,,['SG'],jimmy_collins_chi_1970s,jimmy_collins,1970s,no_bbref_match
CHI,Johnny Baum,SF,4.48,1.97,0.48,,,['SF'],johnny_baum_chi_1970s,johnny_baum,1970s,no_bbref_match
CHI,Loy Petersen,SG,3.0,0.8,0.7,,,['SG'],loy_petersen_chi_1970s,loy_petersen,1970s,no_bbref_match
CHI,Shaler Halimon,SF,6.04,1.76,1.81,,,"['SF', 'SG']",shaler_halimon_chi_1970s,shaler_halimon,1970s,no_bbref_match
